p_msmw_w,replicate,batch,measure,value
0.05,42,3,MSMW.MSW,0.0323904903685658
0.05,43,2,MSMW.MSW,0.041404011461318
0.05,44,3,MSMW.MSW,0.032810543517477
0.05,45,3,MSMW.MSW,0.0429597920807216
0.05,46,3,MSMW.MSW,0.0592315102215562
0.05,46,4,MSMW.MSW,0.0499090629945437
0.05,47,1,MSMW.MSW,0.0406241487995641
0.05,49,1,MSMW.MSW,0.067008303061754
0.05,50,3,MSMW.MSW,0.0682875409610669
0.05,51,1,MSMW.MSW,0.039812959251837
0.05,51,2,MSMW.MSW,0.0523910225799849
0.05,51,3,MSMW.MSW,0.058057829826925
0.05,52,1,MSMW.MSW,0.0416226494823579
0.05,52,2,MSMW.MSW,0.0587273304205618
0.05,52,4,MSMW.MSW,0.0308050972137344
0.05,55,1,MSMW.MSW,0.0588133727580773
0.05,55,2,MSMW.MSW,0.0565872954714751
0.05,56,4,MSMW.MSW,0.0472325921116701
0.05,57,3,MSMW.MSW,0.0459637006779803
0.05,58,4,MSMW.MSW,0.0499738161143113
0.05,59,3,MSMW.MSW,0.0603669137158019
0.05,59,4,MSMW.MSW,0.0409335727109515
0.05,60,1,MSMW.MSW,0.0661270578830348
0.05,60,4,MSMW.MSW,0.0643259322213959
0.05,61,3,MSMW.MSW,0.0429834616014409
0.05,61,4,MSMW.MSW,0.0437836841862821
0.05,64,2,MSMW.MSW,0.0481417634234142
0.05,66,1,MSMW.MSW,0.0678738429239431
0.05,66,3,MSMW.MSW,0.0388193292100367
0.05,67,2,MSMW.MSW,0.0664869288912426
0.05,67,3,MSMW.MSW,0.0578050015675115
0.05,71,1,MSMW.MSW,0.0470106125880004
0.05,71,4,MSMW.MSW,0.0482914095870906
0.05,72,2,MSMW.MSW,0.0403743010384571
0.05,73,1,MSMW.MSW,0.0472606120434353
0.05,73,2,MSMW.MSW,0.0493024210094378
0.05,75,2,MSMW.MSW,0.0639838356625694
0.05,76,1,MSMW.MSW,0.0477029278743156
0.05,76,3,MSMW.MSW,0.0494841677459693
0.05,77,2,MSMW.MSW,0.0445201690527294
0.05,79,1,MSMW.MSW,0.0611359600818143
0.05,80,3,MSMW.MSW,0.0643036386449184
0.05,80,4,MSMW.MSW,0.0490231385612676
0.05,82,4,MSMW.MSW,0.0486663989227243
0.05,83,3,MSMW.MSW,0.0452291720012104
0.05,84,1,MSMW.MSW,0.0507588725322378
0.05,84,4,MSMW.MSW,0.0394497975143136
0.05,85,4,MSMW.MSW,0.0383713313753248
0.05,86,2,MSMW.MSW,0.0468632731446735
0.05,86,3,MSMW.MSW,0.0565347679384629
0.05,86,4,MSMW.MSW,0.0682135868045848
0.05,87,1,MSMW.MSW,0.0410278948320881
0.05,87,2,MSMW.MSW,0.0364094246201126
0.05,90,4,MSMW.MSW,0.043369347390433
0.05,91,4,MSMW.MSW,0.0422335160567256
0.05,92,3,MSMW.MSW,0.0616662413289098
0.05,92,4,MSMW.MSW,0.0631431541872652
0.05,93,3,MSMW.MSW,0.0475041505257332
0.05,93,4,MSMW.MSW,0.0364854146470432
0.05,95,2,MSMW.MSW,0.048380444013102
0.05,95,4,MSMW.MSW,0.043991364835692
0.05,97,3,MSMW.MSW,0.0439814269215358
0.05,97,4,MSMW.MSW,0.0368175131954659
0.05,98,1,MSMW.MSW,0.0326424870466321
0.05,98,3,MSMW.MSW,0.0628355208702849
0.05,99,1,MSMW.MSW,0.0523068902597966
0.05,99,3,MSMW.MSW,0.0531287408858417
0.05,100,2,MSMW.MSW,0.0385327976351562
0.05,102,2,MSMW.MSW,0.0533540751329647
0.05,103,3,MSMW.MSW,0.0583455565644571
0.05,104,2,MSMW.MSW,0.0457325889182997
0.05,104,4,MSMW.MSW,0.0424183928527235
