sim_id,p_msmw_w,measure,method,value
0.05_088,0.05,average_time_in_MSM_network,MSM+MSMW,647.9080607777491
0.05_088,0.05,average_time_in_WSM_network,MSM+MSMW,1202.0285405405405
0.05_088,0.05,average_time_in_network_overall,MSM+MSMW,949.1312881993418
0.05_088,0.05,total_between_network_proportion,MSM+MSMW,0.0037486104288927
0.05_088,0.05,total_triplet_proportion,MSM+MSMW,0.0020423463716036
0.05_088,0.05,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0210439233732323
0.05_088,0.05,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.015770016287066
0.05_088,0.05,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0199839714588557
0.05_088,0.05,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0020423463716036
0.05_088,0.05,average_time_in_MSM_network,MSMW+MSW,159.67358571317408
0.05_088,0.05,average_time_in_WSM_network,MSMW+MSW,120.3561889536584
0.05_088,0.05,average_time_in_network_overall,MSMW+MSW,140.03613542751978
0.05_088,0.05,total_between_network_proportion,MSMW+MSW,0.0410278948320881
0.05_088,0.05,total_triplet_proportion,MSMW+MSW,0.0178123626586696
0.25_007,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0192599509746702
0.25_007,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0098984475312244
0.25_007,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0114158982140772
0.25_007,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0076806349947472
0.25_007,0.25,average_time_in_MSM_network,MSM+MSMW,175.75555528106818
0.25_007,0.25,average_time_in_WSM_network,MSM+MSMW,338.2045619825464
0.25_007,0.25,average_time_in_network_overall,MSM+MSMW,251.94291729796737
0.25_007,0.25,total_between_network_proportion,MSM+MSMW,0.0306758491887475
0.25_007,0.25,total_triplet_proportion,MSM+MSMW,0.0175790825259717
0.25_007,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0310260301155597
0.25_007,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0167619936967433
0.25_007,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.039196918407844
0.25_007,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0106455001750904
0.25_007,0.25,average_time_in_MSM_network,MSMW+MSW,107.96918265185576
0.25_007,0.25,average_time_in_WSM_network,MSMW+MSW,216.7350235334528
0.25_007,0.25,average_time_in_network_overall,MSMW+MSW,159.95315467210932
0.25_007,0.25,total_between_network_proportion,MSMW+MSW,0.0702229485234037
0.25_007,0.25,total_triplet_proportion,MSMW+MSW,0.0274074938718337
0.25_014,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0129649878383504
0.25_014,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.007230044853056
0.25_014,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.009684689710575
0.25_014,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0061142971905473
0.25_014,0.25,average_time_in_MSM_network,MSM+MSMW,536.6836068291066
0.25_014,0.25,average_time_in_WSM_network,MSM+MSMW,268.0826784652975
0.25_014,0.25,average_time_in_network_overall,MSM+MSMW,402.1143239979488
0.25_014,0.25,total_between_network_proportion,MSM+MSMW,0.0226496775489255
0.25_014,0.25,total_triplet_proportion,MSM+MSMW,0.0133443420436034
0.25_014,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0236984803516836
0.25_014,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0150402784906165
0.25_014,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0251935822194452
0.25_014,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0065605962555508
0.25_014,0.25,average_time_in_MSM_network,MSMW+MSW,103.26669944165468
0.25_014,0.25,average_time_in_WSM_network,MSMW+MSW,74.08559716918333
0.25_014,0.25,average_time_in_network_overall,MSMW+MSW,88.65925990880393
0.25_014,0.25,total_between_network_proportion,MSMW+MSW,0.0488920625711289
0.25_014,0.25,total_triplet_proportion,MSMW+MSW,0.0216008747461674
0.25_016,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0146950591236936
0.25_016,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0065992836465335
0.25_016,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0096413326137088
0.25_016,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0073597958883273
0.25_016,0.25,average_time_in_MSM_network,MSM+MSMW,305.108512247629
0.25_016,0.25,average_time_in_WSM_network,MSM+MSMW,359.833319438655
0.25_016,0.25,average_time_in_network_overall,MSM+MSMW,327.6026546044365
0.25_016,0.25,total_between_network_proportion,MSM+MSMW,0.0243363917374024
0.25_016,0.25,total_triplet_proportion,MSM+MSMW,0.0139590795348609
0.25_016,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0263480692802119
0.25_016,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0170011285020362
0.25_016,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0279672243756439
0.25_016,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0140817427996663
0.25_016,0.25,average_time_in_MSM_network,MSMW+MSW,71.0136618185028
0.25_016,0.25,average_time_in_WSM_network,MSMW+MSW,45.11630122918277
0.25_016,0.25,average_time_in_network_overall,MSMW+MSW,58.560076572173344
0.25_016,0.25,total_between_network_proportion,MSMW+MSW,0.0543152936558559
0.25_016,0.25,total_triplet_proportion,MSMW+MSW,0.0310828713017025
0.25_030,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0156380143261702
0.25_030,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0091620856238547
0.25_030,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0099950024987506
0.25_030,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0066216891554222
0.25_030,0.25,average_time_in_MSM_network,MSM+MSMW,436.5543100549266
0.25_030,0.25,average_time_in_WSM_network,MSM+MSMW,570.4257924803047
0.25_030,0.25,average_time_in_network_overall,MSM+MSMW,493.9522948116606
0.25_030,0.25,total_between_network_proportion,MSM+MSMW,0.0256330168249208
0.25_030,0.25,total_triplet_proportion,MSM+MSMW,0.015783774779277
0.25_030,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0317341329335332
0.25_030,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0190737964351157
0.25_030,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0299017158087622
0.25_030,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0083499916708312
0.25_030,0.25,average_time_in_MSM_network,MSMW+MSW,96.1552646307056
0.25_030,0.25,average_time_in_WSM_network,MSMW+MSW,91.08668685290095
0.25_030,0.25,average_time_in_network_overall,MSMW+MSW,93.69245828698554
0.25_030,0.25,total_between_network_proportion,MSMW+MSW,0.0616358487422955
0.25_030,0.25,total_triplet_proportion,MSMW+MSW,0.027423788105947
0.25_047,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0235721606261064
0.25_047,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0104351066803316
0.25_047,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.014301686387776
0.25_047,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0091773036429702
0.25_047,0.25,average_time_in_MSM_network,MSM+MSMW,141.77711461059334
0.25_047,0.25,average_time_in_WSM_network,MSM+MSMW,404.7594397638522
0.25_047,0.25,average_time_in_network_overall,MSM+MSMW,272.9667451509736
0.25_047,0.25,total_between_network_proportion,MSM+MSMW,0.0378738470138824
0.25_047,0.25,total_triplet_proportion,MSM+MSMW,0.0196124103233019
0.25_047,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0297912978663933
0.25_047,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0142783937389359
0.25_047,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0413444516910463
0.25_047,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0237352091679865
0.25_047,0.25,average_time_in_MSM_network,MSMW+MSW,34.07593177357018
0.25_047,0.25,average_time_in_WSM_network,MSMW+MSW,160.96464979740855
0.25_047,0.25,average_time_in_network_overall,MSMW+MSW,97.15210106961872
0.25_047,0.25,total_between_network_proportion,MSMW+MSW,0.0711357495574396
0.25_047,0.25,total_triplet_proportion,MSMW+MSW,0.0380136029069225
0.25_061,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.016867112834317
0.25_061,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.0078038179438421
0.25_061,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0116810312893586
0.25_061,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.007754426691033
0.25_061,0.25,average_time_in_MSM_network,MSM+MSMW,289.8840800527096
0.25_061,0.25,average_time_in_WSM_network,MSM+MSMW,711.4673619566944
0.25_061,0.25,average_time_in_network_overall,MSM+MSMW,474.3346999281959
0.25_061,0.25,total_between_network_proportion,MSM+MSMW,0.0285481441236756
0.25_061,0.25,total_triplet_proportion,MSM+MSMW,0.0155582446348751
0.25_061,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0294371866742399
0.25_061,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0156817227668979
0.25_061,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.036450744573136
0.25_061,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0168918084607216
0.25_061,0.25,average_time_in_MSM_network,MSMW+MSW,48.22109822677435
0.25_061,0.25,average_time_in_WSM_network,MSMW+MSW,135.9064519863397
0.25_061,0.25,average_time_in_network_overall,MSMW+MSW,90.60073762198505
0.25_061,0.25,total_between_network_proportion,MSMW+MSW,0.065887931247376
0.25_061,0.25,total_triplet_proportion,MSMW+MSW,0.0325735312276195
0.25_062,0.25,MSM_group_to_WSM_group_proportion,MSM+MSMW,0.0201107050501164
0.25_062,0.25,MSM_group_to_WSM_group_triplet_proportion,MSM+MSMW,0.011711653950546
0.25_062,0.25,WSM_group_to_MSM_group_proportion,MSM+MSMW,0.0107285589109016
0.25_062,0.25,WSM_group_to_MSM_group_triplet_proportion,MSM+MSMW,0.0059413135004594
0.25_062,0.25,average_time_in_MSM_network,MSM+MSMW,356.752004464701
0.25_062,0.25,average_time_in_WSM_network,MSM+MSMW,290.8641016431714
0.25_062,0.25,average_time_in_network_overall,MSM+MSMW,326.8935637773008
0.25_062,0.25,total_between_network_proportion,MSM+MSMW,0.0308392639610181
0.25_062,0.25,total_triplet_proportion,MSM+MSMW,0.0176529674510055
0.25_062,0.25,MSM_group_to_WSM_group_proportion,MSMW+MSW,0.0384261930713171
0.25_062,0.25,MSM_group_to_WSM_group_triplet_proportion,MSMW+MSW,0.0199611036310401
0.25_062,0.25,WSM_group_to_MSM_group_proportion,MSMW+MSW,0.0471458186403368
0.25_062,0.25,WSM_group_to_MSM_group_triplet_proportion,MSMW+MSW,0.0139129319740975
0.25_062,0.25,average_time_in_MSM_network,MSMW+MSW,58.34190133297487
0.25_062,0.25,average_time_in_WSM_network,MSMW+MSW,53.27549031024496
0.25_062,0.25,average_time_in_network_overall,MSMW+MSW,55.85098936574951
