measure,MSM+MSMW,MSMW+MSW,p_msmw_w,replicate
MSM_group_to_WSM_group_proportion,44373,44373,0.05,122
MSM_group_to_WSM_group_triplet_proportion,44373,44373,0.05,122
WSM_group_to_MSM_group_proportion,44373,44373,0.05,122
WSM_group_to_MSM_group_triplet_proportion,44373,44373,0.05,122
average_time_in_MSM_network,8163,54408,0.05,122
average_time_in_WSM_network,11594,56886,0.05,122
average_time_in_network_overall,19757,111294,0.05,122
total_between_network_proportion,44373,44373,0.05,122
total_triplet_proportion,44373,44373,0.05,122
MSM_group_to_WSM_group_proportion,42065,42065,0.05,123
MSM_group_to_WSM_group_triplet_proportion,42065,42065,0.05,123
WSM_group_to_MSM_group_proportion,42065,42065,0.05,123
WSM_group_to_MSM_group_triplet_proportion,42065,42065,0.05,123
average_time_in_MSM_network,8736,105261,0.05,123
average_time_in_WSM_network,6699,102818,0.05,123
average_time_in_network_overall,15435,208079,0.05,123
total_between_network_proportion,42065,42065,0.05,123
total_triplet_proportion,42065,42065,0.05,123
MSM_group_to_WSM_group_proportion,46843,46843,0.05,126
MSM_group_to_WSM_group_triplet_proportion,46843,46843,0.05,126
WSM_group_to_MSM_group_proportion,46843,46843,0.05,126
WSM_group_to_MSM_group_triplet_proportion,46843,46843,0.05,126
average_time_in_MSM_network,2721,39733,0.05,126
average_time_in_WSM_network,2453,41374,0.05,126
average_time_in_network_overall,5174,81107,0.05,126
total_between_network_proportion,46843,46843,0.05,126
total_triplet_proportion,46843,46843,0.05,126
MSM_group_to_WSM_group_proportion,43955,43955,0.05,131
MSM_group_to_WSM_group_triplet_proportion,43955,43955,0.05,131
WSM_group_to_MSM_group_proportion,43955,43955,0.05,131
WSM_group_to_MSM_group_triplet_proportion,43955,43955,0.05,131
average_time_in_MSM_network,10784,104505,0.05,131
average_time_in_WSM_network,5338,98256,0.05,131
average_time_in_network_overall,16122,202761,0.05,131
total_between_network_proportion,43955,43955,0.05,131
total_triplet_proportion,43955,43955,0.05,131
MSM_group_to_WSM_group_proportion,48659,48659,0.05,143
MSM_group_to_WSM_group_triplet_proportion,48659,48659,0.05,143
WSM_group_to_MSM_group_proportion,48659,48659,0.05,143
WSM_group_to_MSM_group_triplet_proportion,48659,48659,0.05,143
average_time_in_MSM_network,10018,135208,0.05,143
average_time_in_WSM_network,5619,130766,0.05,143
average_time_in_network_overall,15637,265974,0.05,143
total_between_network_proportion,48659,48659,0.05,143
total_triplet_proportion,48659,48659,0.05,143
MSM_group_to_WSM_group_proportion,44969,44969,0.05,145
MSM_group_to_WSM_group_triplet_proportion,44969,44969,0.05,145
WSM_group_to_MSM_group_proportion,44969,44969,0.05,145
WSM_group_to_MSM_group_triplet_proportion,44969,44969,0.05,145
average_time_in_MSM_network,12901,67016,0.05,145
average_time_in_WSM_network,12728,65962,0.05,145
average_time_in_network_overall,25629,132978,0.05,145
total_between_network_proportion,44969,44969,0.05,145
total_triplet_proportion,44969,44969,0.05,145
MSM_group_to_WSM_group_proportion,48575,48575,0.05,147
MSM_group_to_WSM_group_triplet_proportion,48575,48575,0.05,147
WSM_group_to_MSM_group_proportion,48575,48575,0.05,147
WSM_group_to_MSM_group_triplet_proportion,48575,48575,0.05,147
average_time_in_MSM_network,8656,178064,0.05,147
average_time_in_WSM_network,4225,173514,0.05,147
average_time_in_network_overall,12881,351578,0.05,147
total_between_network_proportion,48575,48575,0.05,147
total_triplet_proportion,48575,48575,0.05,147
MSM_group_to_WSM_group_proportion,40393,40393,0.05,148
MSM_group_to_WSM_group_triplet_proportion,40393,40393,0.05,148
WSM_group_to_MSM_group_proportion,40393,40393,0.05,148
WSM_group_to_MSM_group_triplet_proportion,40393,40393,0.05,148
average_time_in_MSM_network,10530,101855,0.05,148
average_time_in_WSM_network,10829,101581,0.05,148
average_time_in_network_overall,21359,203436,0.05,148
total_between_network_proportion,40393,40393,0.05,148
total_triplet_proportion,40393,40393,0.05,148
MSM_group_to_WSM_group_proportion,44685,44685,0.05,149
MSM_group_to_WSM_group_triplet_proportion,44685,44685,0.05,149
WSM_group_to_MSM_group_proportion,44685,44685,0.05,149
WSM_group_to_MSM_group_triplet_proportion,44685,44685,0.05,149
average_time_in_MSM_network,6945,74824,0.05,149
average_time_in_WSM_network,5027,72407,0.05,149
average_time_in_network_overall,11972,147231,0.05,149
total_between_network_proportion,44685,44685,0.05,149
total_triplet_proportion,44685,44685,0.05,149
MSM_group_to_WSM_group_proportion,46324,46324,0.05,151
MSM_group_to_WSM_group_triplet_proportion,46324,46324,0.05,151
WSM_group_to_MSM_group_proportion,46324,46324,0.05,151
WSM_group_to_MSM_group_triplet_proportion,46324,46324,0.05,151
average_time_in_MSM_network,6554,79587,0.05,151
average_time_in_WSM_network,4164,78358,0.05,151
average_time_in_network_overall,10718,157945,0.05,151
total_between_network_proportion,46324,46324,0.05,151
total_triplet_proportion,46324,46324,0.05,151
MSM_group_to_WSM_group_proportion,49093,49093,0.05,152
MSM_group_to_WSM_group_triplet_proportion,49093,49093,0.05,152
WSM_group_to_MSM_group_proportion,49093,49093,0.05,152
WSM_group_to_MSM_group_triplet_proportion,49093,49093,0.05,152
average_time_in_MSM_network,3894,98149,0.05,152
average_time_in_WSM_network,3223,99769,0.05,152
average_time_in_network_overall,7117,197918,0.05,152
total_between_network_proportion,49093,49093,0.05,152
total_triplet_proportion,49093,49093,0.05,152
MSM_group_to_WSM_group_proportion,44290,44290,0.05,153
MSM_group_to_WSM_group_triplet_proportion,44290,44290,0.05,153
WSM_group_to_MSM_group_proportion,44290,44290,0.05,153
WSM_group_to_MSM_group_triplet_proportion,44290,44290,0.05,153
average_time_in_MSM_network,6373,124423,0.05,153
average_time_in_WSM_network,1980,119103,0.05,153
average_time_in_network_overall,8353,243526,0.05,153
total_between_network_proportion,44290,44290,0.05,153
total_triplet_proportion,44290,44290,0.05,153
MSM_group_to_WSM_group_proportion,40986,40986,0.05,154
MSM_group_to_WSM_group_triplet_proportion,40986,40986,0.05,154
WSM_group_to_MSM_group_proportion,40986,40986,0.05,154
WSM_group_to_MSM_group_triplet_proportion,40986,40986,0.05,154
average_time_in_MSM_network,15443,76843,0.05,154
average_time_in_WSM_network,7968,69372,0.05,154
average_time_in_network_overall,23411,146215,0.05,154
total_between_network_proportion,40986,40986,0.05,154
total_triplet_proportion,40986,40986,0.05,154
MSM_group_to_WSM_group_proportion,41420,41420,0.05,156
MSM_group_to_WSM_group_triplet_proportion,41420,41420,0.05,156
WSM_group_to_MSM_group_proportion,41420,41420,0.05,156
WSM_group_to_MSM_group_triplet_proportion,41420,41420,0.05,156
average_time_in_MSM_network,15707,118290,0.05,156
average_time_in_WSM_network,13162,115372,0.05,156
average_time_in_network_overall,28869,233662,0.05,156
total_between_network_proportion,41420,41420,0.05,156
total_triplet_proportion,41420,41420,0.05,156
MSM_group_to_WSM_group_proportion,41421,41421,0.05,157
MSM_group_to_WSM_group_triplet_proportion,41421,41421,0.05,157
WSM_group_to_MSM_group_proportion,41421,41421,0.05,157
WSM_group_to_MSM_group_triplet_proportion,41421,41421,0.05,157
average_time_in_MSM_network,4421,84147,0.05,157
average_time_in_WSM_network,2686,82034,0.05,157
average_time_in_network_overall,7107,166181,0.05,157
total_between_network_proportion,41421,41421,0.05,157
total_triplet_proportion,41421,41421,0.05,157
MSM_group_to_WSM_group_proportion,47149,47149,0.05,161
MSM_group_to_WSM_group_triplet_proportion,47149,47149,0.05,161
WSM_group_to_MSM_group_proportion,47149,47149,0.05,161
WSM_group_to_MSM_group_triplet_proportion,47149,47149,0.05,161
average_time_in_MSM_network,27768,183674,0.05,161
average_time_in_WSM_network,24943,181710,0.05,161
average_time_in_network_overall,52711,365384,0.05,161
total_between_network_proportion,47149,47149,0.05,161
total_triplet_proportion,47149,47149,0.05,161
MSM_group_to_WSM_group_proportion,44987,44987,0.05,162
MSM_group_to_WSM_group_triplet_proportion,44987,44987,0.05,162
WSM_group_to_MSM_group_proportion,44987,44987,0.05,162
WSM_group_to_MSM_group_triplet_proportion,44987,44987,0.05,162
average_time_in_MSM_network,10352,74118,0.05,162
average_time_in_WSM_network,9395,72291,0.05,162
average_time_in_network_overall,19747,146409,0.05,162
total_between_network_proportion,44987,44987,0.05,162
total_triplet_proportion,44987,44987,0.05,162
MSM_group_to_WSM_group_proportion,44653,44653,0.05,163
MSM_group_to_WSM_group_triplet_proportion,44653,44653,0.05,163
WSM_group_to_MSM_group_proportion,44653,44653,0.05,163
WSM_group_to_MSM_group_triplet_proportion,44653,44653,0.05,163
average_time_in_MSM_network,2905,74080,0.05,163
average_time_in_WSM_network,3300,73545,0.05,163
average_time_in_network_overall,6205,147625,0.05,163
total_between_network_proportion,44653,44653,0.05,163
total_triplet_proportion,44653,44653,0.05,163
MSM_group_to_WSM_group_proportion,47011,47011,0.05,166
MSM_group_to_WSM_group_triplet_proportion,47011,47011,0.05,166
WSM_group_to_MSM_group_proportion,47011,47011,0.05,166
WSM_group_to_MSM_group_triplet_proportion,47011,47011,0.05,166
average_time_in_MSM_network,6214,94822,0.05,166
average_time_in_WSM_network,3736,92374,0.05,166
average_time_in_network_overall,9950,187196,0.05,166
total_between_network_proportion,47011,47011,0.05,166
total_triplet_proportion,47011,47011,0.05,166
MSM_group_to_WSM_group_proportion,45927,45927,0.05,172
MSM_group_to_WSM_group_triplet_proportion,45927,45927,0.05,172
WSM_group_to_MSM_group_proportion,45927,45927,0.05,172
WSM_group_to_MSM_group_triplet_proportion,45927,45927,0.05,172
average_time_in_MSM_network,6502,83335,0.05,172
average_time_in_WSM_network,871,76828,0.05,172
average_time_in_network_overall,7373,160163,0.05,172
total_between_network_proportion,45927,45927,0.05,172
total_triplet_proportion,45927,45927,0.05,172
